Retailer country,Order method type,Retailer type,Product line,Product type,Product,Year,Quarter,Revenue,Quantity,Gross margin
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly Multi-light,2013,Q1 2013,11359.12,428,0.33006782
United States,Web,Department Store,Camping Equipment,Lanterns,EverGlow Single,2013,Q1 2013,35207.3,1035,0.44909436
United States,Web,Department Store,Camping Equipment,Lanterns,EverGlow Double,2013,Q1 2013,7353.15,141,0.44870566
United States,Web,Department Store,Camping Equipment,Lanterns,EverGlow Butane,2013,Q1 2013,34807.94,541,0.36851104
United States,Web,Department Store,Outdoor Protection,Insect Repellents,BugShield Spray,2013,Q1 2013,5823.69,2365,0.25683716
United States,Web,Department Store,Outdoor Protection,Insect Repellents,BugShield Lotion Lite,2013,Q1 2013,5075,725,0.73142857
United States,Web,Department Store,Outdoor Protection,Insect Repellents,BugShield Lotion,2013,Q1 2013,4102,586,0.66714286
United States,Web,Department Store,Outdoor Protection,Sunscreen,Sun Shelter Stick,2013,Q1 2013,1720,344,0.608
United States,Web,Department Store,Outdoor Protection,Sunscreen,Sun Shelter 15,2013,Q1 2013,8353.8,1692,0.63744883
United States,Web,Department Store,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q1 2013,5925,2581,0.19411814
United States,Web,Department Store,Outdoor Protection,Sunscreen,Sun Shield,2013,Q1 2013,7224,1204,0.54
United States,Web,Department Store,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2013,Q1 2013,4340,124,0.59885714
United States,Web,Department Store,Outdoor Protection,First Aid,Aloe Relief,2013,Q1 2013,198.74,1434,-12.85367817
United States,Web,Department Store,Outdoor Protection,First Aid,Insect Bite Relief,2013,Q1 2013,306,51,0.54
United States,Web,Department Store,Golf Equipment,Irons,Hailstorm Steel Irons,2013,Q1 2013,212336.6,467,0.51394625
United States,Web,Department Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2013,Q1 2013,212539.62,249,0.48256937
United States,Web,Department Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2013,Q1 2013,38464.36,76,0.4511865
United States,Web,Department Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2013,Q1 2013,231412.18,274,0.50270552
United States,Web,Department Store,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2013,Q1 2013,182082.48,153,0.49720533
United States,Web,Department Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2013,Q1 2013,312817.2,526,0.42560192
United States,Web,Department Store,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2013,Q1 2013,149840.68,116,0.52776509
United States,Web,Department Store,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2013,Q1 2013,65761.28,76,0.51345229
United States,Web,Department Store,Golf Equipment,Putters,Course Pro Putter,2013,Q1 2013,83607.9,1145,0.61106546
United States,Web,Department Store,Golf Equipment,Putters,Blue Steel Putter,2013,Q1 2013,37066.22,422,0.53093679
United States,Web,Department Store,Golf Equipment,Putters,Blue Steel Max Putter,2013,Q1 2013,84255.6,542,0.41336042
United States,Web,Department Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2013,Q1 2013,30137.05,3048,0.71681369
United States,Web,Department Store,Golf Equipment,Golf Accessories,Course Pro Umbrella,2013,Q1 2013,12550,1145,0.45258964
United States,Web,Department Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2013,Q1 2013,44298.9,205,0.63117594
United States,Web,Department Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2013,Q1 2013,32450.74,3130,0.75404259
United States,Web,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q1 2013,95124.14,1823,0.32981985
United States,Web,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2013,Q1 2013,34997.32,284,0.35437799
United States,Web,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q1 2013,19551.95,1045,0.46552646
United States,Web,Warehouse Store,Camping Equipment,Tents,Star Lite,2013,Q1 2013,568569.54,1617,0.28900518
United States,Web,Warehouse Store,Camping Equipment,Sleeping Bags,Hibernator Extreme,2013,Q1 2013,78082.8,310,0.40447832
United States,Web,Warehouse Store,Camping Equipment,Lanterns,Firefly Mapreader,2013,Q1 2013,21219.4,1343,0.52531646
United States,Web,Warehouse Store,Camping Equipment,Lanterns,Firefly Extreme,2013,Q1 2013,7417.18,137,0.44052457
United States,Web,Warehouse Store,Camping Equipment,Lanterns,EverGlow Single,2013,Q1 2013,23864.25,705,0.44638109
United States,Web,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Natural,2013,Q1 2013,14154.84,2373,0.68817874
United States,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shelter Stick,2013,Q1 2013,2410,482,0.608
United States,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shelter 15,2013,Q1 2013,4890,978,0.642
United States,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shield,2013,Q1 2013,2628,438,0.54
United States,Web,Warehouse Store,Outdoor Protection,First Aid,Compact Relief Kit,2013,Q1 2013,1955,85,0.60869565
United States,Web,Warehouse Store,Outdoor Protection,First Aid,Aloe Relief,2013,Q1 2013,915.25,175,0.63288719
United States,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Canteen,2013,Q1 2013,8252.16,672,0.35504886
United States,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Cup,2013,Q1 2013,19460.65,5450,0.76195554
United States,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q1 2013,56989.46,1067,0.34526507
United States,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2013,Q1 2013,175356.29,1423,0.35437799
United States,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Single Flame,2013,Q1 2013,31334.42,494,0.26880025
United States,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q1 2013,237320.28,1646,0.4798169
United States,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Kettle,2013,Q1 2013,60500.58,4723,0.60108597
United States,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q1 2013,20813.91,1079,0.48159668
United States,Web,Outdoors Shop,Camping Equipment,Tents,Star Dome,2013,Q1 2013,340710.85,551,0.35958599
United States,Web,Outdoors Shop,Camping Equipment,Tents,Star Gazer 2,2013,Q1 2013,302655.1,547,0.2904934
United States,Web,Outdoors Shop,Camping Equipment,Tents,Star Gazer 3,2013,Q1 2013,381040.66,539,0.35779557
United States,Web,Outdoors Shop,Camping Equipment,Tents,Star Gazer 6,2013,Q1 2013,14524.56,18,0.39275269
United States,Web,Outdoors Shop,Camping Equipment,Tents,Star Peg,2013,Q1 2013,6034.88,3016,0.50023861
United States,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator,2013,Q1 2013,115079.25,825,0.38346835
United States,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2013,Q1 2013,419566.56,1653,0.40903298
United States,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2013,Q1 2013,144487.45,1195,0.56537921
United States,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pad,2013,Q1 2013,50309.52,1261,0.50471879
United States,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pillow,2013,Q1 2013,25839.6,1464,0.52124646
United States,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2013,Q1 2013,146110.72,1472,0.3426355
United States,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Climber Backpack,2013,Q1 2013,89595.54,1227,0.2810189
United States,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Journey Backpack,2013,Q1 2013,418908.48,1189,0.39449932
United States,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2013,Q1 2013,495783.18,1120,0.46035765
United States,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Cooler,2013,Q1 2013,49783.68,1608,0.51550388
United States,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Carryall,2013,Q1 2013,8519.26,122,0.41028211
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly Lite,2013,Q1 2013,41748.86,2858,0.53791553
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly 2,2013,Q1 2013,4269.72,156,0.39093898
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly 4,2013,Q1 2013,2296.32,78,0.38858696
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly Extreme,2013,Q1 2013,59588.72,1098,0.44186719
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly Multi-light,2013,Q1 2013,10987.56,414,0.33006782
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Single,2013,Q1 2013,40641.1,1199,0.44712963
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Double,2013,Q1 2013,18200.35,349,0.44870566
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Kerosene,2013,Q1 2013,26912.15,853,0.36608558
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Butane,2013,Q1 2013,39680.97,615,0.37029135
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Lamp,2013,Q1 2013,8315.19,299,0.54009349
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,Flicker Lantern,2013,Q1 2013,8253.6,240,0.5457982
United States,Web,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Spray,2013,Q1 2013,552.92,92,0.69550749
United States,Web,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Lotion,2013,Q1 2013,3598,514,0.66714286
United States,Web,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Extreme,2013,Q1 2013,10022.46,1703,0.58879756
United States,Web,Outdoors Shop,Outdoor Protection,Sunscreen,Sun Blocker,2013,Q1 2013,1355,271,0.61
United States,Web,Outdoors Shop,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2013,Q1 2013,4095,117,0.59885714
United States,Web,Outdoors Shop,Outdoor Protection,First Aid,Calamine Relief,2013,Q1 2013,102,17,0.52833333
United States,Web,Outdoors Shop,Outdoor Protection,First Aid,Aloe Relief,2013,Q1 2013,313.8,60,0.63288719
United States,Sales visit,Department Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2013,Q1 2013,11152.26,1113,0.47704591
United States,Sales visit,Department Store,Camping Equipment,Cooking Gear,TrailChef Cup,2013,Q1 2013,5435.76,1562,0.75574713
United States,Sales visit,Department Store,Camping Equipment,Tents,Star Lite,2013,Q1 2013,207104.18,589,0.28900518
United States,Sales visit,Department Store,Camping Equipment,Tents,Star Dome,2013,Q1 2013,102027.75,165,0.35958599
United States,Sales visit,Department Store,Camping Equipment,Tents,Star Gazer 3,2013,Q1 2013,93316.08,132,0.35779557
United States,Sales visit,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pillow,2013,Q1 2013,7836.6,444,0.52124646
United States,Sales visit,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q1 2013,41454.05,145,0.41704852
United States,Sales visit,Department Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2013,Q1 2013,116970.24,332,0.39449932
United States,Sales visit,Department Store,Camping Equipment,Lanterns,Firefly 4,2013,Q1 2013,9273.6,315,0.38858696
United States,Sales visit,Department Store,Camping Equipment,Lanterns,Firefly Multi-light,2013,Q1 2013,8837.82,333,0.33006782
United States,Sales visit,Department Store,Camping Equipment,Lanterns,EverGlow Single,2013,Q1 2013,21156.25,625,0.44638109
United States,Sales visit,Department Store,Camping Equipment,Lanterns,EverGlow Kerosene,2013,Q1 2013,12935.5,410,0.36608558
United States,Sales visit,Department Store,Camping Equipment,Lanterns,Flicker Lantern,2013,Q1 2013,8219.21,239,0.5457982
United States,Sales visit,Department Store,Outdoor Protection,Insect Repellents,BugShield Spray,2013,Q1 2013,0,145,
United States,Sales visit,Department Store,Outdoor Protection,Insect Repellents,BugShield Lotion Lite,2013,Q1 2013,2618,374,0.73142857
United States,Sales visit,Department Store,Outdoor Protection,Insect Repellents,BugShield Lotion,2013,Q1 2013,2695,385,0.66714286
United States,Sales visit,Department Store,Outdoor Protection,Sunscreen,Sun Blocker,2013,Q1 2013,1345,269,0.61
United States,Sales visit,Department Store,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q1 2013,0,145,
United States,Sales visit,Department Store,Outdoor Protection,First Aid,Calamine Relief,2013,Q1 2013,666,111,0.52833333
United States,Sales visit,Department Store,Outdoor Protection,First Aid,Aloe Relief,2013,Q1 2013,0,145,
United States,Sales visit,Department Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2013,Q1 2013,109380.4,124,0.48883347
United States,Special,Warehouse Store,Camping Equipment,Sleeping Bags,Hibernator Extreme,2013,Q1 2013,81609.12,324,0.40447832
United States,Special,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Natural,2013,Q1 2013,4068.96,692,0.68367347
United States,Special,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shelter 15,2013,Q1 2013,2020,404,0.642
United States,Special,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shield,2013,Q1 2013,2640,440,0.54
United States,Special,Warehouse Store,Outdoor Protection,First Aid,Compact Relief Kit,2013,Q1 2013,2070,90,0.60869565
China,Web,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q1 2013,76563.96,1452,0.33681016
China,Web,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2013,Q1 2013,67653.27,549,0.35437799
China,Web,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q1 2013,32447.04,1752,0.4600432
China,Web,Warehouse Store,Camping Equipment,Tents,Star Lite,2013,Q1 2013,468006.22,1331,0.28900518
China,Web,Warehouse Store,Camping Equipment,Tents,Star Gazer 2,2013,Q1 2013,237919,430,0.2904934
China,Web,Warehouse Store,Camping Equipment,Sleeping Bags,Hibernator Extreme,2013,Q1 2013,119391.12,474,0.40447832
China,Web,Warehouse Store,Camping Equipment,Lanterns,Firefly Mapreader,2013,Q1 2013,15018.36,941,0.53007519
China,Web,Warehouse Store,Camping Equipment,Lanterns,Firefly Extreme,2013,Q1 2013,10232.46,189,0.44052457
China,Web,Warehouse Store,Camping Equipment,Lanterns,EverGlow Single,2013,Q1 2013,29449.5,870,0.44638109
China,Web,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Natural,2013,Q1 2013,8322,1387,0.69
China,Web,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Lotion Lite,2013,Q1 2013,4620,660,0.73142857
China,Web,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Lotion,2013,Q1 2013,9653,1379,0.66714286
China,Web,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Extreme,2013,Q1 2013,16584.96,2468,0.63988095
China,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Blocker,2013,Q1 2013,5370,1074,0.61
China,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shelter Stick,2013,Q1 2013,1840,368,0.608
China,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shelter 15,2013,Q1 2013,8725,1745,0.642
China,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q1 2013,10253,2074,0.62577782
China,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shield,2013,Q1 2013,6912,1152,0.54
China,Web,Warehouse Store,Outdoor Protection,First Aid,Compact Relief Kit,2013,Q1 2013,8119,353,0.60869565
China,Web,Warehouse Store,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2013,Q1 2013,11206.3,325,0.59281833
China,Web,Warehouse Store,Outdoor Protection,First Aid,Calamine Relief,2013,Q1 2013,1386,231,0.52833333
China,Web,Warehouse Store,Outdoor Protection,First Aid,Aloe Relief,2013,Q1 2013,439.32,84,0.63288719
China,Web,Warehouse Store,Outdoor Protection,First Aid,Insect Bite Relief,2013,Q1 2013,1512,252,0.54
China,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Canteen,2013,Q1 2013,40946.94,3814,0.42801294
China,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q1 2013,73980.19,1403,0.33681016
China,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2013,Q1 2013,96982.01,787,0.35437799
China,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Single Flame,2013,Q1 2013,82712.72,1304,0.26880025
China,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q1 2013,126734.22,879,0.4798169
China,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Kettle,2013,Q1 2013,73124.32,5822,0.59315287
China,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q1 2013,15384.6,814,0.47089947
China,Web,Outdoors Shop,Camping Equipment,Tents,Star Dome,2013,Q1 2013,139128.75,225,0.35958599
China,Web,Outdoors Shop,Camping Equipment,Tents,Star Gazer 2,2013,Q1 2013,188122,340,0.2904934
China,Web,Outdoors Shop,Camping Equipment,Tents,Star Gazer 3,2013,Q1 2013,155526.8,220,0.35779557
China,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator,2013,Q1 2013,87041.76,624,0.38346835
China,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2013,Q1 2013,317634.66,1249,0.41017142
China,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2013,Q1 2013,128769.15,1065,0.56537921
China,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pad,2013,Q1 2013,17649.12,443,0.50401606
China,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pillow,2013,Q1 2013,21263.7,1219,0.51558054
China,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2013,Q1 2013,191571.8,1930,0.3426355
China,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Climber Backpack,2013,Q1 2013,113254.02,1551,0.2810189
China,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q1 2013,125505.71,439,0.41704852
China,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Journey Backpack,2013,Q1 2013,239225.28,679,0.39449932
China,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2013,Q1 2013,261205.52,585,0.46500059
China,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Cooler,2013,Q1 2013,31038.32,1013,0.51044386
China,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly Lite,2013,Q1 2013,37862.75,2627,0.53167031
China,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly 2,2013,Q1 2013,72457.74,2712,0.37606334
China,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly 4,2013,Q1 2013,24670.72,838,0.38858696
China,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly Extreme,2013,Q1 2013,29993.56,554,0.44052457
China,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly Multi-light,2013,Q1 2013,12394.18,467,0.33006782
China,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Single,2013,Q1 2013,54396.95,1607,0.44638109
China,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Double,2013,Q1 2013,8917.65,171,0.44870566
China,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Kerosene,2013,Q1 2013,32187.72,1041,0.35316947
China,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Butane,2013,Q1 2013,20910.5,325,0.36851104
China,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Lamp,2013,Q1 2013,30959.95,1855,0.40083883
China,Web,Outdoors Shop,Camping Equipment,Lanterns,Flicker Lantern,2013,Q1 2013,25620.55,745,0.5457982
China,Web,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Natural,2013,Q1 2013,5328,888,0.69
China,Web,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Spray,2013,Q1 2013,4014.68,1107,0.49539938
China,Web,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Extreme,2013,Q1 2013,12731.25,2104,0.60006441
China,Web,Outdoors Shop,Outdoor Protection,Sunscreen,Sun Shelter Stick,2013,Q1 2013,2860,572,0.608
China,Web,Outdoors Shop,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q1 2013,0,439,
China,Web,Outdoors Shop,Outdoor Protection,First Aid,Aloe Relief,2013,Q1 2013,1302.27,688,-0.01435186
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2013,Q2 2013,54295.4,4485,0.34577883
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,2013,Q2 2013,121689.43,5298,0.30645464
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Cup,2013,Q2 2013,16053.11,4526,0.76035173
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q2 2013,109055.42,2054,0.34135892
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2013,Q2 2013,314852.65,2555,0.35437799
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Single Flame,2013,Q2 2013,54613.23,861,0.26880025
United States,Web,Department Store,Camping Equipment,Tents,Star Lite,2013,Q2 2013,25538.97,69,0.32456164
United States,Web,Department Store,Camping Equipment,Tents,Star Dome,2013,Q2 2013,186123.35,301,0.35958599
United States,Web,Department Store,Camping Equipment,Tents,Star Gazer 3,2013,Q2 2013,138560.24,196,0.35779557
United States,Web,Department Store,Camping Equipment,Tents,Star Gazer 6,2013,Q2 2013,256669.27,324,0.38146082
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2013,Q2 2013,87387.39,1021,0.29898353
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator,2013,Q2 2013,25387.18,182,0.38346835
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pad,2013,Q2 2013,117473.68,2994,0.49638557
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pillow,2013,Q2 2013,36378.06,2093,0.51383196
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2013,Q2 2013,252021.14,2539,0.3426355
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Climber Backpack,2013,Q2 2013,119162.4,1592,0.29860426
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q2 2013,520657.2,1917,0.38637703
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Cooler,2013,Q2 2013,70333.35,2790,0.48230818
United States,Web,Department Store,Camping Equipment,Packs,Canyon Mule Carryall,2013,Q2 2013,13686.68,196,0.41028211
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly Lite,2013,Q2 2013,8479.42,586,0.53351762
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly Mapreader,2013,Q2 2013,33962.24,2132,0.529183
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly 2,2013,Q2 2013,77245.56,2914,0.3711434
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly 4,2013,Q2 2013,32442.88,1102,0.38858696
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly Multi-light,2013,Q2 2013,26168.44,986,0.33006782
United States,Web,Department Store,Camping Equipment,Lanterns,EverGlow Single,2013,Q2 2013,103127.66,3083,0.43976795
United States,Web,Department Store,Camping Equipment,Lanterns,EverGlow Double,2013,Q2 2013,15795.66,306,0.44304322
United States,Web,Department Store,Camping Equipment,Lanterns,EverGlow Butane,2013,Q2 2013,40308.38,625,0.37001313
United States,Web,Department Store,Camping Equipment,Lanterns,EverGlow Lamp,2013,Q2 2013,76549.69,2806,0.53117067
United States,Web,Department Store,Camping Equipment,Lanterns,Flicker Lantern,2013,Q2 2013,44650.23,1307,0.5427719
United States,Web,Department Store,Outdoor Protection,Insect Repellents,BugShield Natural,2013,Q2 2013,5394,899,0.69
